id,label,task,classes,hidden_activation,output_activation,dataset,accuracy,error_rate,log_loss,macro_f1,weighted_f1,f1_down,precision_down,recall_down,parameter_count,training_seconds,evaluation_seconds,best_val_accuracy,best_val_loss
lightweight_relu,Multiclase ReLU,Multiclase,up/down/right,relu,softmax,"3 clases, split original",0.8268156424581006,0.17318435754189943,0.41210511326789856,0.8080611849679927,0.8249316638803483,,,,877859,33.436841599992476,0.6670350000204053,0.8282122611999512,0.41210511326789856
lightweight_sigmoid,Multiclase Sigmoid,Multiclase,up/down/right,sigmoid,softmax,"3 clases, split original",0.4022346368715084,0.5977653631284916,1.0840975046157837,0.1912350597609562,0.23076409446014826,,,,877859,15.478406999987783,0.6405108000035398,0.40223464369773865,1.0840976238250732
two_layer_relu,Multiclase 2 capas ReLU,Multiclase,up/down/right,relu,softmax,"3 clases, split original",0.8198324022346368,0.18016759776536317,0.41810154914855957,0.8024665732244879,0.8192530737175994,,,,2071779,28.706840500002727,0.6808001000026707,0.8240223526954651,0.41810154914855957
binary_sigmoid_up_down,Binario Sigmoid/Sigmoid,Binario,up/down,sigmoid,sigmoid,up/down balanceado,0.5,0.5,0.6931003332138062,,,0.6666666666666666,0.5,1.0,877601,21.191721400013193,0.3169384000066202,0.5,0.6931003332138062
binary_relu_sigmoid_up_down,Binario ReLU/Sigmoid,Binario,up/down,relu,sigmoid,up/down balanceado,0.9628099173553719,0.037190082644628086,0.08797772973775864,,,0.9620253164556961,0.9827586206896551,0.9421487603305785,877601,25.228298800007906,0.3655243999965023,0.9648760557174683,0.08797767758369446
