generation,best_fitness,mean_fitness,convergence_ratio
2,272,51.56,0.18955882352941178
3,173,55.31,0.31971098265895953
4,678,59.23,0.0873598820058997
5,444,106.27,0.23934684684684684
6,4190,258.37,0.06166348448687351
7,5636,409.36,0.07263307310149042
8,8130,310.24,0.03815990159901599
9,8087,460.73,0.056971682947941145
10,6820,640.34,0.09389149560117302
