generation,best_fitness,mean_fitness,convergence_ratio
2,47,47.0,1.0
3,46,46.0,1.0
4,46,46.0,1.0
5,46,46.0,1.0
6,50,47.15,0.943
7,46,46.0,1.0
8,55,46.5,0.8454545454545455
9,107,49.25,0.4602803738317757
10,51,46.2,0.9058823529411765
