generation,best_fitness,mean_fitness,convergence_ratio
2,46,46.0,1.0
3,46,46.0,1.0
4,46,46.0,1.0
5,168,53.05,0.3157738095238095
6,46,46.0,1.0
7,46,46.0,1.0
8,48,48.0,1.0
9,46,46.0,1.0
10,48,48.0,1.0
