generation,best_fitness,mean_fitness,convergence_ratio
2,279,84.3,0.3021505376344086
3,106,46.58,0.43943396226415093
4,282,56.22,0.19936170212765958
5,109,74.06,0.6794495412844037
6,109,81.36,0.7464220183486239
7,108,85.26,0.7894444444444445
8,46,45.56,0.9904347826086957
9,326,51.3,0.15736196319018403
10,272,50.62,0.18610294117647058
