generation,best_fitness,mean_fitness,convergence_ratio
2,46,45.56,0.9904347826086957
3,46,45.84,0.9965217391304348
4,108,50.9,0.47129629629629627
5,47,46.36,0.9863829787234042
6,46,45.78,0.9952173913043478
7,107,54.56,0.5099065420560748
8,46,45.3,0.9847826086956522
9,46,45.5,0.9891304347826086
10,48,47.66,0.9929166666666666
